TD_IsTrainRow,serial_num,target_cat,target_num,sepal_length,sepal_width,petal_length,petal_width
1,149,virginica,2,6.2e+00,3.4e+00,5.4e+00,2.3e+00
0,10,setosa,0,4.9e+00,3.1e+00,1.5e+00,1e-01
1,36,setosa,0,5e+00,3.2e+00,1.2e+00,2e-01
0,17,setosa,0,5.4e+00,3.9e+00,1.3e+00,4e-01
1,83,versicolor,1,5.8e+00,2.7e+00,3.9e+00,1.2e+00
0,91,versicolor,1,5.5e+00,2.6e+00,4.4e+00,1.2e+00
1,117,virginica,2,6.5e+00,3e+00,5.5e+00,1.8e+00
0,143,virginica,2,5.8e+00,2.7e+00,5.1e+00,1.9e+00
1,98,versicolor,1,6.2e+00,2.9e+00,4.3e+00,1.3e+00
0,116,virginica,2,6.4e+00,3.2e+00,5.3e+00,2.3e+00
1,111,virginica,2,6.5e+00,3.2e+00,5.1e+00,2e+00
0,39,setosa,0,4.4e+00,3e+00,1.3e+00,2e-01
1,138,virginica,2,6.4e+00,3.1e+00,5.5e+00,1.8e+00
0,95,versicolor,1,5.6e+00,2.7e+00,4.2e+00,1.3e+00
1,59,versicolor,1,6.6e+00,2.9e+00,4.6e+00,1.3e+00
0,144,virginica,2,6.8e+00,3.2e+00,5.9e+00,2.3e+00
1,58,versicolor,1,4.9e+00,2.4e+00,3.3e+00,1e+00
0,33,setosa,0,5.2e+00,4.1e+00,1.5e+00,1e-01
1,82,versicolor,1,5.5e+00,2.4e+00,3.7e+00,1e+00
0,125,virginica,2,6.7e+00,3.3e+00,5.7e+00,2.1e+00
1,92,versicolor,1,6.1e+00,3e+00,4.6e+00,1.4e+00
0,106,virginica,2,7.6e+00,3e+00,6.6e+00,2.1e+00
1,52,versicolor,1,6.4e+00,3.2e+00,4.5e+00,1.5e+00
0,94,versicolor,1,5e+00,2.3e+00,3.3e+00,1e+00
1,8,setosa,0,5e+00,3.4e+00,1.5e+00,2e-01
0,25,setosa,0,4.8e+00,3.4e+00,1.9e+00,2e-01
1,35,setosa,0,4.9e+00,3.1e+00,1.5e+00,2e-01
0,75,versicolor,1,6.4e+00,2.9e+00,4.3e+00,1.3e+00
1,43,setosa,0,4.4e+00,3.2e+00,1.3e+00,2e-01
0,70,versicolor,1,5.6e+00,2.5e+00,3.9e+00,1.1e+00
1,22,setosa,0,5.1e+00,3.7e+00,1.5e+00,4e-01
1,137,virginica,2,6.3e+00,3.4e+00,5.6e+00,2.4e+00
1,105,virginica,2,6.5e+00,3e+00,5.8e+00,2.2e+00
1,108,virginica,2,7.3e+00,2.9e+00,6.3e+00,1.8e+00
1,64,versicolor,1,6.1e+00,2.9e+00,4.7e+00,1.4e+00
1,130,virginica,2,7.2e+00,3e+00,5.8e+00,1.6e+00
1,133,virginica,2,6.4e+00,2.8e+00,5.6e+00,2.2e+00
